"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2021","Utah",67.6584,244,67.917,202,105.411,88,110.632,48,102.266,198,98.796,110,11.8361,73
"2021","Utah St.",69.4931,164,68.8354,153,104.427,103,105.794,113,89.3923,6,89.2469,8,16.5468,41
"2021","Utah Valley",71.3496,84,70.5059,85,101.139,175,100.12,216,103.575,230,104.636,224,-4.5159,211
"2021","UTEP",68.0798,220,68.1221,191,100.014,194,103.271,153,100.361,141,100.438,130,2.83238,135
"2021","UTSA",72.0568,58,72.0964,35,103.479,125,106.348,107,104.723,253,106.001,258,0.347131,166
"2021","Valparaiso",67.0505,276,67.2602,237,93.3652,308,96.6104,274,101.712,183,99.3531,120,-2.74261,191
"2021","Vanderbilt",69.5795,157,68.9408,147,103.039,138,108.929,71,103.71,234,100.428,129,8.50105,96
"2021","VCU",70.2879,120,69.8271,110,101.518,163,105.487,118,92.1215,15,89.724,11,15.7631,45
"2021","Vermont",66.5212,290,66.6634,269,108.363,49,105.544,117,93.9803,26,101.981,172,3.56286,131
"2021","Villanova",66.2426,300,65.0426,321,113.621,8,118.683,9,100.98,155,96.066,66,22.6173,11
"2021","Virginia",60.7903,347,60.0589,357,112.421,14,115.856,12,98.7173,97,92.8838,30,22.9722,10
"2021","Virginia Tech",66.4982,291,66.1243,293,106.985,61,110.233,56,97.7696,76,94.779,52,15.454,48
"2021","VMI",71.6064,75,70.1897,91,106.956,62,107.934,83,106.853,286,106.405,266,1.5289,146
"2021","Wagner",66.7789,285,65.8575,305,104.73,99,101.015,196,100.486,147,106.149,261,-5.1341,219
"2021","Wake Forest",67.1677,271,67.2409,240,97.3143,250,101.646,183,107.736,298,101.328,157,0.318563,167
"2021","Washington",71.0067,94,71.2992,53,95.3121,282,102.061,175,108.765,311,102.161,178,-0.0997574,171
"2021","Washington St.",68.6422,194,67.8701,206,97.4812,246,100.597,205,95.9845,50,93.0597,34,7.53779,106
"2021","Weber St.",71.5481,80,72.1376,33,110.73,24,107.049,99,99.128,111,103.077,197,3.97203,127
"2021","West Virginia",70.6837,104,69.5838,114,107.886,55,116.224,11,100.446,144,95.8269,63,20.3976,27
"2021","Western Carolina",72.0674,57,70.7843,77,100.007,195,99.9401,219,107.82,300,106.631,269,-6.69122,238
"2021","Western Illinois",73.7429,24,71.7673,45,98.7574,217,97.3573,258,109.193,315,109.75,314,-12.3928,304
